"Gene ID","source_id","Organism","Input Ortholog(s)","Gene Name or Symbol"
"CNC05110","CNC05110-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02900","N/A"
"CNC05120","CNC05120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02901","N/A"
"CNC05130","CNC05130-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02902","N/A"
"CNC05140","CNC05140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00515,CNAG_01955,CNAG_02489,CNAG_02903,CNAG_05723,CNAG_06035,CNAG_07745","N/A"
"CNC05145","CNC05145-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02904","N/A"
"CNC05150","CNC05150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02905","N/A"
"CNC05160","CNC05160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02906","N/A"
"CNC05170","CNC05170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02907","N/A"
"CNC05180","CNC05180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07513","N/A"
"CNC05200","CNC05200-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02910","N/A"
"CNC05210","CNC05210-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02911","N/A"
"CNC05220","CNC05220-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02912","N/A"
"CNC05230","CNC05230-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02913","N/A"
"CNC05240","CNC05240-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02914","N/A"
"CNC05250","CNC05250-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02915","PDK1"
"CNC05260","CNC05260-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02916","N/A"
"CNC05270","CNC05270-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02917","N/A"
"CNC05280","CNC05280-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02918","ERG10"
"CNC05290","CNC05290-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02920","N/A"
"CNC05300","CNC05300-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02921","N/A"
"CNC05310","CNC05310-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02922","N/A"
"CNC05320","CNC05320-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01976,CNAG_02923","N/A"
"CNC05330","CNC05330-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02924,CNAG_04168","N/A"
"CNC05340","CNC05340-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00126,CNAG_02000,CNAG_02925","N/A"
"CNC05345","CNC05345-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02926","N/A"
"CNC05350","CNC05350-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00072,CNAG_02927","N/A"
"CNC05360","CNC05360-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02928","N/A"
"CNC05370","CNC05370-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02929","N/A"
"CNC05390","CNC05390-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02930","LIV10"
"CNC05400","CNC05400-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02931","N/A"
"CNC05410","CNC05410-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02932","N/A"
"CNC05420","CNC05420-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02933","N/A"
"CNC05440","CNC05440-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02934","N/A"
"CNC05440","CNC05440-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_02934","N/A"
"CNC05440","CNC05440-t26_3","Cryptococcus neoformans var. neoformans JEC21","CNAG_02934","N/A"
"CNC05440","CNC05440-t26_4","Cryptococcus neoformans var. neoformans JEC21","CNAG_02934","N/A"
"CNC05450","CNC05450-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02935,CNAG_03623","N/A"
"CNC05460","CNC05460-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02936","N/A"
"CNC05470","CNC05470-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02937","N/A"
"CNC05480","CNC05480-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02938","N/A"
"CNC05490","CNC05490-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02939","N/A"
"CNC05500","CNC05500-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02940","N/A"
"CNC05510","CNC05510-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02941","N/A"
"CNC05520","CNC05520-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02538,CNAG_02942","N/A"
"CNC05530","CNC05530-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02943","N/A"
"CNC05530","CNC05530-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_02943","N/A"
"CNC05530","CNC05530-t26_3","Cryptococcus neoformans var. neoformans JEC21","CNAG_02943","N/A"
"CNC05540","CNC05540-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02944,CNAG_06967","APH1"
"CNC05550","CNC05550-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07512","N/A"
"CNC05560","CNC05560-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07511","N/A"
"CNC05570","CNC05570-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02947","N/A"
"CNC05580","CNC05580-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02948","N/A"
"CNC05590","CNC05590-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02950","GRX3"
"CNC05600","CNC05600-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02951","N/A"
"CNC05610","CNC05610-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02952","N/A"
"CNC05620","CNC05620-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02953","N/A"
"CNC05640","CNC05640-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02955","N/A"
"CNC05650","CNC05650-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02956","IWS1"
"CNC05660","CNC05660-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07510","N/A"
"CNC05660","CNC05660-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_07510","N/A"
"CNC05670","CNC05670-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03499,CNAG_07509","N/A"
"CNC05680","CNC05680-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07508","N/A"
"CNC05690","CNC05690-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02958,CNAG_03464,CNAG_03465,CNAG_06241,CNAG_07865","CFO2"
"CNC05700","CNC05700-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02959,CNAG_06242","CFT2"
"CNC05710","CNC05710-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02960","N/A"
"CNC05720","CNC05720-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02961","N/A"
"CNC05730","CNC05730-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02962","N/A"
"CNC05740","CNC05740-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02963","N/A"
"CNC05750","CNC05750-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02964,CNAG_04280","N/A"
"CNC05755","CNC05755-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02965","N/A"
"CNC05760","CNC05760-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00919,CNAG_01040,CNAG_02966","N/A"
"CNC05770","CNC05770-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02967","N/A"
"CNC05780","CNC05780-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02968","PLC2"
"CNC05790","CNC05790-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02969","N/A"
"CNC05800","CNC05800-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07507","STE50"
"CNC05810","CNC05810-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07506","FAP1"
"CNC05820","CNC05820-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02973","N/A"
"CNC05830","CNC05830-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02974","N/A"
"CNC05840","CNC05840-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02975","N/A"
"CNC05850","CNC05850-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02976","N/A"
"CNC05860","CNC05860-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00792,CNAG_00823,CNAG_01575,CNAG_02262,CNAG_02430,CNAG_02977,CNAG_03450,CNAG_03503,CNAG_07781","N/A"
"CNC05870","CNC05870-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02978","N/A"
"CNC05880","CNC05880-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02979","N/A"
"CNC05890","CNC05890-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02980","N/A"
"CNC05900","CNC05900-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02981","N/A"
"CNC05910","CNC05910-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02982","N/A"
"CNC05920","CNC05920-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02983","N/A"
"CNC05920","CNC05920-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_02983","N/A"
"CNC05930","CNC05930-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02984,CNAG_05346,CNAG_06777","N/A"
"CNC05940","CNC05940-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02985","N/A"
"CNC05950","CNC05950-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02986","N/A"
"CNC05955","CNC05955-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02987","N/A"
"CNC05960","CNC05960-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02988","N/A"
"CNC05970","CNC05970-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02989","N/A"
"CNC05980","CNC05980-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02990","N/A"
"CNC05990","CNC05990-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02991","COF1"
"CNC06000","CNC06000-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02992","N/A"
"CNC06010","CNC06010-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02993","N/A"
"CNC06020","CNC06020-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02994","N/A"
"CNC06020","CNC06020-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_02994","N/A"
"CNC06030","CNC06030-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02995","N/A"
"CNC06060","CNC06060-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02996","N/A"
"CNC06070","CNC06070-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02997","N/A"
"CNC06080","CNC06080-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02998","N/A"
"CNC06090","CNC06090-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02999","N/A"
"CNC06100","CNC06100-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03000","N/A"
"CNC06110","CNC06110-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03001","N/A"
"CNC06120","CNC06120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03002","N/A"
"CNC06140","CNC06140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03003","N/A"
"CNC06150","CNC06150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03004","N/A"
"CNC06160","CNC06160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03005","N/A"
"CNC06170","CNC06170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03006","N/A"
"CNC06180","CNC06180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02899,CNAG_03007","N/A"
"CNC06190","CNC06190-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03008","N/A"
"CNC06200","CNC06200-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03009","ERG28"
"CNC06210","CNC06210-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_03010","N/A"
"CNC06220","CNC06220-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00836,CNAG_01777,CNAG_01794,CNAG_03011,CNAG_07816","N/A"
"CNC06240","CNC06240-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01561","N/A"
"CNC06245","CNC06245-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01560","N/A"
"CNC06250","CNC06250-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01559","N/A"
"CNC06260","CNC06260-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00115,CNAG_00269,CNAG_01558,CNAG_01949,CNAG_05658,CNAG_06977","N/A"
"CNC06280","CNC06280-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01557","CAM1"
"CNC06290","CNC06290-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01556","N/A"
"CNC06295","CNC06295-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01555","N/A"
"CNC06300","CNC06300-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01554","SNX4"
"CNC06310","CNC06310-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01553","N/A"
"CNC06320","CNC06320-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01552,CNAG_04607","N/A"
"CNC06330","CNC06330-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01551","GAT201"
"CNC06340","CNC06340-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01550","N/A"
"CNC06350","CNC06350-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01549","N/A"
"CNC06360","CNC06360-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01548","FAL1"
"CNC06370","CNC06370-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01547","N/A"
"CNC06380","CNC06380-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01546","N/A"
"CNC06390","CNC06390-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01545","N/A"
"CNC06400","CNC06400-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01544","N/A"
"CNC06410","CNC06410-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01543","N/A"
"CNC06420","CNC06420-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01542","N/A"
"CNC06425","CNC06425-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01541,CNAG_02477,CNAG_02655,CNAG_03882","N/A"
"CNC06430","CNC06430-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01540","N/A"
"CNC06440","CNC06440-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01539","N/A"
"CNC06450","CNC06450-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01538","N/A"
"CNC06460","CNC06460-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01537","VAD1"
"CNC06470","CNC06470-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01536","N/A"
"CNC06480","CNC06480-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01535,CNAG_05119","N/A"
"CNC06490","CNC06490-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01533","N/A"
"CNC06500","CNC06500-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01532","N/A"
"CNC06510","CNC06510-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01531","N/A"
"CNC06520","CNC06520-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01530","MGA2"
"CNC06530","CNC06530-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01529,CNAG_05283","N/A"
"CNC06540","CNC06540-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01527,CNAG_01528","N/A"
"CNC06550","CNC06550-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01527,CNAG_01528","N/A"
"CNC06560","CNC06560-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01526","N/A"
"CNC06570","CNC06570-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01525","N/A"
"CNC06570","CNC06570-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_01525","N/A"
"CNC06580","CNC06580-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01524","N/A"
"CNC06590","CNC06590-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01523","HOG1"
"CNC06600","CNC06600-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01522","N/A"
"CNC06610","CNC06610-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01521","N/A"
"CNC06620","CNC06620-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01520","N/A"
"CNC06630","CNC06630-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01519","N/A"
"CNC06640","CNC06640-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01518,CNAG_02772","N/A"
"CNC06650","CNC06650-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07591","N/A"
"CNC06660","CNC06660-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07590","N/A"
"CNC06670","CNC06670-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07589","N/A"
"CNC06675","CNC06675-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01514","N/A"
"CNC06675","CNC06675-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_01514","N/A"
"CNC06680","CNC06680-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01466,CNAG_01513","N/A"
"CNC06690","CNC06690-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01512","N/A"
"CNC06700","CNC06700-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01487,CNAG_01494,CNAG_01511","N/A"
"CNC06710","CNC06710-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01510","N/A"
"CNC06720","CNC06720-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01509","N/A"
"CNC06730","CNC06730-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01508","N/A"
"CNC06740","CNC06740-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01507","CGI121"
"CNC06750","CNC06750-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01299,CNAG_01506,CNAG_03712","N/A"
"CNC06755","CNC06755-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_08003","N/A"
"CNC06760","CNC06760-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01504","N/A"
"CNC06770","CNC06770-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00839,CNAG_04690","N/A"
"CNC06780","CNC06780-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01502","N/A"
"CNC06790","CNC06790-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01501","N/A"
"CNC06800","CNC06800-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01500,CNAG_06249","N/A"
"CNC06810","CNC06810-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01499","N/A"
"CNC06820","CNC06820-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01498,CNAG_04104","N/A"
"CNC06830","CNC06830-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01497","N/A"
"CNC06840","CNC06840-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01496","N/A"
"CNC06850","CNC06850-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01495,CNAG_05320,CNAG_05321,CNAG_05329,CNAG_06530","N/A"
"CNC06870","CNC06870-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01487,CNAG_01494,CNAG_01511","N/A"
"CNC06875","CNC06875-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01493","N/A"
"CNC06880","CNC06880-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00275,CNAG_01492","N/A"
"CNC06890","CNC06890-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01491","N/A"
"CNC06900","CNC06900-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01490","N/A"
"CNC06920","CNC06920-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00865,CNAG_01489,CNAG_05023","CAS9"
"CNC06940","CNC06940-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01486","N/A"
"CNC06950","CNC06950-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01485,CNAG_02664,CNAG_03676","N/A"
"CNC06960","CNC06960-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01483","N/A"
"CNC06970","CNC06970-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01482","N/A"
"CNC06980","CNC06980-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01481,CNAG_05448","N/A"
"CNC06990","CNC06990-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01480","N/A"
"CNC07000","CNC07000-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01479","N/A"
"CNC07010","CNC07010-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00541,CNAG_01478,CNAG_03556","N/A"
"CNC07020","CNC07020-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01477","N/A"
"CNC07020","CNC07020-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_01477","N/A"
"CNC07030","CNC07030-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01476","N/A"
"CNC07040","CNC07040-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00733,CNAG_01475,CNAG_05302","SMT1"
"CNC07050","CNC07050-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01474","N/A"
"CNC07060","CNC07060-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01473","N/A"
"CNC07070","CNC07070-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00077,CNAG_01472","N/A"
"CNC07070","CNC07070-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00077,CNAG_01472","N/A"
"CNC07080","CNC07080-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01471","N/A"
"CNC07090","CNC07090-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01470","N/A"
"CNC07095","CNC07095-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_06853,CNAG_07026,CNAG_07043","N/A"
"CNC07110","CNC07110-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01469","N/A"
"CNC07120","CNC07120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01468","N/A"
"CNC07130","CNC07130-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01467","N/A"
"CNC07140","CNC07140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01466,CNAG_01513","N/A"
"CNC07140","CNC07140-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_01466,CNAG_01513","N/A"
"CNC07150","CNC07150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01465","N/A"
"CNC07160","CNC07160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01464","FHB1"
"CNC07170","CNC07170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_01463","N/A"
"CNC07180","CNC07180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_08002","N/A"
"CND00010","CND00010-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00013,CNAG_00858,CNAG_00860,CNAG_01240,CNAG_02744,CNAG_04084,CNAG_04932,CNAG_06299,CNAG_06703,CNAG_06749,CNAG_06780,CNAG_06784,CNAG_06877,CNAG_06943,CNAG_07412,CNAG_07706,CNAG_07708,CNAG_07754,CNAG_07793,CNAG_07868","N/A"
"CND00020","CND00020-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00097,CNAG_00864,CNAG_00867,CNAG_04552,CNAG_05377,CNAG_05381,CNAG_05667","ITR2"
"CND00030","CND00030-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00865,CNAG_01489,CNAG_05023","CAS92"
"CND00040","CND00040-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00866,CNAG_03040","N/A"
"CND00050","CND00050-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02253","N/A"
"CND00070","CND00070-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00097,CNAG_00864,CNAG_00867,CNAG_04552,CNAG_05377,CNAG_05381,CNAG_05667","ITR3A"
"CND00090","CND00090-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00730,CNAG_00869,CNAG_04098,CNAG_06338,CNAG_06348,CNAG_07619,CNAG_07799","PDR5"
"CND00095","CND00095-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00870","N/A"
"CND00100","CND00100-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00871","CLR3"
"CND00110","CND00110-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00872,CNAG_02823","N/A"
"CND00120","CND00120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00873,CNAG_06782","N/A"
"CND00130","CND00130-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00874","N/A"
"CND00140","CND00140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00875","N/A"
"CND00150","CND00150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00876","FRE7"
"CND00160","CND00160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00877","N/A"
"CND00170","CND00170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00878,CNAG_03896,CNAG_07450","N/A"
"CND00180","CND00180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00879","N/A"
"CND00190","CND00190-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07453","N/A"
"CND00200","CND00200-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00883","ECM2201"
"CND00210","CND00210-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00884","N/A"
"CND00220","CND00220-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00885","N/A"
"CND00240","CND00240-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00886","SAH1"
"CND00250","CND00250-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00887","N/A"
"CND00260","CND00260-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00888","CNB1"
"CND00280","CND00280-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00889","N/A"
